nom_station;nbre_pdc;puissance_nominale;gratuit;consolidated_longitude;consolidated_latitude
"Le Bourget-Du-Lac; Horloge; rue du Lac Majeur";2;22;false;5.868361;45.644002
RELAIS CEIGNES CERDON;8;50;False;5.493363;46.114344
"Nyons; Parking Cerisiers Mistral";2;22;false;5.127572;44.357458
ARGELES - Avenue Du Grau;2;22;TRUE;3.046709;42.550209
CCTLB REHAINVILLIER;2;22000;false;6.468064;48.562346
MARSAC SUR LISLE - IMPASSE DU VIEUX MOULIN;2;22000;false;0.661303;45.187424
JLR - GRIM - Béziers;7;7.36;false;3.2514;43.347198
SAULTAIN - Place Vaillant Couturier;2;3.7;false;3.5782430171966553;50.33613586425781
SUPER U EAUNES;8;80;false;1.372633;43.4179385
Metropolis - Citadine - Aulnay-sous-Bois - Rue de Sevran;1;2.30;false;2.49895672;48.94121732
Mazda - Lille (Villeneuve-d'Ascq) - 22kW AC;1;22.00;false;3.0316692;50.6421108
SAINT JEAN DANGELY - FAUBOURG DAUNIS;3;43000;false;-0.529733;45.948627
SIEG63 - ePremium - Clermont Ferrand - Menat;2;22;false;3.072883;45.778677
Pleugriffet - Rue Anne de Bretagne;2;18;false;-2.684955;47.98792
ETABLES SUR MER-PLACE JEAN HEURTEL;2;22000;false;-2.833905;48.62648
Hyundai Rouen;2;22.08;false;1.065814;49.44701
Favret Automobiles;5;50;false;6.44;46.35
DIVION - rue Pasteur;2;22.0;false;2.4987709522247314;50.4708366394043
Parking Gaston Roupnel - Gevrey Chambertin;4;22.08;false;4.968982;47.227147
PALLUEL - Parking Le Fontanil Cornillon;8;7.4;TRUE;5.6607537;45.2541131
"Bourgoin Jallieu; Allée de l'Eden (Flunch)";2;50;false;5.24054;45.59485
"Aix-En-Provence; Place du Souvenir Français";2;22;false;5.460704;43.526456
BISCARROSSE - PARKING DUFAU;4;43000;false;-1.250123;44.445004
ASNIERES-SUR-SEINE - Rue de Normandie;4;22;false;2.2849481105804443;48.906185150146484
SAINT LARY SOULAN - Rue des chardons;2;3.7;false;0.32399800419807434;42.81757354736328
ByMyCar Peugeot Annemasse;5;22.08;false;6.25664;46.194099
OuestCharge - Diva Sp - Joue-Sur-Erdre - Mazureau;2;22.00;false;-1.419992;47.495595
ETABLISSEMENTS BRUNO CUCIS ET CIE - MONTBELIARD;1;22;false;6.8140013;47.5188961
"LIEU-DIT; LE BUISSON 30170 CROS";1;22;0;3.82022;44.01097
LE FOLGOET-RUE DU VERGER;2;22000;false;-4.335426;48.561989
"Châteauneuf-Sur-Isère; Quai de l'Isère";2;22;false;4.936933;45.015669
OuestCharge - Diva Sp - Getigne - Jean Vay;2;22;false;-1.248399;47.076892
CASTELNAUDARY - Parking Regional D'Activite Economique;2;22;TRUE;1.953595;43.293091
PRADES - Rue De L'Agriculture;2;22;TRUE;2.425439;42.619188
JLR BBC Ajaccio;4;7.36;true;8.78786;41.952599
Paris | Rue de l'ArrivÃ©e 16;6;7;False;2.3217;48.8432
CASTELNAU DE MONTMIRAL - Rue Lafayette;2;18;TRUE;1.822349;43.964112
JOUARS-PONTCHARTRAIN - Rue Louis Phelypeaux;2;22.0;false;1.8969579935073853;48.80300521850586
AUBERGENVILLE - Place François Mitterrand;2;22;TRUE;1.84832;48.971634
LA CIOTAT - IUT - Avenue Maurice Sandral;4;22;TRUE;5.604214;43.173521
Paris | Rue de Courcelles 69;7;7;False;2.3044934;48.87835
RELAIS PONT DE L'ISERE;8;175;False;4.874171;45.018137
GENERAC - Parking PEM;2;7.4;TRUE;4.34334;43.73203
HINX - PLACE DE LA MAIRIE;4;4000;false;-0.927685;43.702885
SIGEIF - PIERRELAYE  PARKING PISCINE;2;22000;false;2.16317;49.0203
LUBERSAC - AVENUE DU CHATEAU;2;22000;false;1.402562;45.442391
ALBI - Allee Du Lude;2;22;false;2.149669885635376;43.92179870605469
Metropolis - Proximité - Châtenay-Malabry - Roger Salengro;1;7.00;false;2.27218497;48.76457362
ERGUE GABERIC-ROUTE DE CROAS SPERN;2;22000;false;-4.024456;48.008377
BAGNAC SUR CELE - Parking de la Planquette;2;36;TRUE;2.158341;44.667943
